Antal test elementer;Test 1 (ms);Test 2 (ms);Test 3 (ms);Test 4 (ms);Test 5 (ms);Test 6 (ms);Test 7 (ms);Test 8 (ms);Test 9 (ms);Test 10 (ms)
0;0.03240013122558594;0.006200313568115234;0.006499767303466797;0.02180004119873047;0.005000114440917969;0.004800319671630859;0.004199981689453125;0.0039000511169433594;0.0048999786376953125;0.003699779510498047
1000000;6.63040018081665;6.712200164794922;5.54040002822876;3.872499942779541;4.148600101470947;5.098700046539307;3.768200397491455;5.051300048828125;4.769400119781494;4.1442999839782715
2000000;9.863800048828125;12.33620023727417;11.004600048065186;10.389500141143799;7.499000072479248;10.248500347137451;10.483699798583984;10.266600131988525;11.198400020599365;10.322100162506104
3000000;14.579699993133545;15.569000244140625;14.755599975585938;14.416000366210938;14.043000221252441;15.566500186920166;12.273499965667725;17.28950023651123;27.220399856567383;17.748600006103516
4000000;33.793999671936035;21.691800117492676;21.07740020751953;18.89429998397827;20.8334002494812;22.897600173950195;21.24519968032837;19.387600421905518;16.131700038909912;22.90939998626709
5000000;33.565500259399414;19.39709997177124;26.477999687194824;32.085400104522705;27.11180019378662;30.31410026550293;30.31510019302368;25.699100017547607;26.245399951934814;22.81130027770996
6000000;29.251200199127197;30.472700119018555;28.844599723815918;30.323400020599365;29.8673996925354;28.210099697113037;35.434800148010254;31.17400026321411;28.590199947357178;29.344600200653076
7000000;33.03209972381592;34.286799907684326;31.500699996948242;28.871099948883057;34.15540027618408;32.61999988555908;37.485000133514404;35.091400146484375;33.06440019607544;32.837900161743164
8000000;38.22349977493286;45.23810005187988;38.59089994430542;37.73040008544922;39.78119993209839;37.88670015335083;38.907999992370605;37.841400146484375;46.178800106048584;38.13929986953735
9000000;40.994200229644775;40.03670024871826;71.78140020370483;72.03509998321533;72.26399993896484;72.44029998779297;73.25390005111694;72.56260013580322;76.57079982757568;72.32040023803711
10000000;81.06260013580322;80.59809970855713;79.60840034484863;95.82920026779175;94.77350044250488;130.38850021362305;118.88929986953735;124.45289993286133;90.10410022735596;94.14680004119873
