Antal test elementer;Test 1 (ms);Test 2 (ms);Test 3 (ms);Test 4 (ms);Test 5 (ms);Test 6 (ms);Test 7 (ms);Test 8 (ms);Test 9 (ms);Test 10 (ms)
0;0.04859999939799309;0.005899999290704727;0.019999999552965164;0.004200000315904617;0.003200000151991844;0.005100000649690628;0.008500000461935997;0.0029999995604157448;0.002199999988079071;0.0027000000700354576
10000;2.3396000005304813;0.7521000001579523;1.139299999922514;0.025899999774992466;0.029500000178813934;0.02500000037252903;0.031099999323487282;0.029899999499320984;0.03000000026077032;0.03259999956935644
20000;0.057799999602138996;0.059899999760091305;0.04700000025331974;0.047799999825656414;0.08320000022649765;0.04679999966174364;0.05819999985396862;0.06030000001192093;0.05790000036358833;0.05789999943226576
30000;0.11849999986588955;0.06949999928474426;0.07010000012814999;0.06950000021606684;0.08579999953508377;0.08580000046640635;0.0868999995291233;0.08660000003874302;0.07260000053793192;0.07180000003427267
40000;0.11409999988973141;0.09199999924749136;0.11409999988973141;0.09199999924749136;0.1155000003054738;0.09219999983906746;0.09140000026673079;0.16679999977350235;0.09609999973326921;0.09300000034272671
50000;0.1936999997124076;0.14089999999850988;0.15180000010877848;0.11390000022947788;0.15329999942332506;0.14140000008046627;0.14319999981671572;0.12600000016391277;0.15929999947547913;0.12069999985396862
60000;0.17219999991357327;0.18360000010579824;0.13799999933689833;0.13620000053197145;0.17499999981373549;0.23350000008940697;0.14380000066012144;0.17160000000149012;0.13589999917894602;0.18080000020563602
70000;0.21010000072419643;0.19639999978244305;0.15800000075250864;0.16110000014305115;0.16160000022500753;0.20010000001639128;0.19799999985843897;0.15969999972730875;0.20940000005066395;0.15859999973326921
80000;0.22439999971538782;0.22460000030696392;0.2246999992057681;0.2277999995276332;0.22620000038295984;0.27830000035464764;0.23169999942183495;0.183699999935925;0.23139999993145466;0.22970000002533197
90000;0.2532999999821186;0.25270000007003546;0.2026999993249774;0.25200000032782555;0.20270000025629997;0.25339999981224537;0.25650000013411045;0.25199999939650297;0.20270000025629997;0.20440000016242266
100000;0.27950000017881393;0.2927999999374151;0.2834000000730157;0.23039999976754189;0.2800000002607703;0.22360000014305115;0.27950000017881393;0.23320000059902668;0.2867000000551343;0.27950000017881393
