Antal test elementer;Test 1 (ms);Test 2 (ms);Test 3 (ms);Test 4 (ms);Test 5 (ms);Test 6 (ms);Test 7 (ms);Test 8 (ms);Test 9 (ms);Test 10 (ms)
0;0.05119999870657921;0.006099998950958252;0.013700000941753387;0.005499999970197678;0.0032999999821186066;0.005899999290704727;0.003600001335144043;0.003600001335144043;0.0026999972760677338;0.0038000009953975677
100000;5057.07860000059;5513.197999998927;5464.711199998856;5501.0703999996185;5046.780700001866;5087.9664999991655;5313.46970000118;5048.904100000858;5046.07349999994;5094.542799998075
200000;20201.050799999386;20213.32600000128;22041.25470000133;22159.264100000262;20510.080299999565;21237.669500000775;21996.82059999928;22082.986700002104;21973.306799996644;20380.696800000966
300000;48999.1539000012;49436.57809999958;49594.93259999901;48906.47720000148;49313.69000000134;49305.98919999972;49875.568900000304;47787.314599998295;49093.941700000316;49765.73699999973
400000;87823.11690000072;87957.96309999749;87204.23730000108;87843.34739999846;84885.63939999789;82430.09340000153;86356.1248999983;88528.22199999914;87859.57909999788;88240.58430000022
500000;136787.25890000165;136899.9518999979;136202.82129999995;136627.81970000267;136511.17669999972;136814.70980000123;135021.78289999813;136267.9626000002;136838.26319999993;136608.10749999806
600000;194225.44800000265;192134.49010000005;194759.9508999996;193809.1512000002;197131.8396999985;196974.55299999937;197169.01350000128;197158.68930000067;196752.02170000225;196903.46719999984
700000;267360.78069999814;268129.3136;268082.4331;268550.8167000003;266447.61790000275;267840.2351000011;268639.08210000023;268270.2930999994;265009.0275999978;268586.6838000007
800000;345020.501699999;349541.7596000023;351631.47199999914;350262.34490000084;349354.06539999694;347407.6415999979;351304.13980000094;350173.9331;350081.5995000005;350478.8055000007
900000;446290.6915999986;429399.29830000177;445600.0023000017;446023.26139999926;443985.568500001;445930.8355999999;466046.9542000033;456823.10059999675;444598.99990000203;445957.04939999804
1000000;551243.7572000027;552366.1922000013;543695.0481000021;554440.998800002;553583.6974999979;547792.8029000014;508282.10780000687;553516.810499996;548723.3063000068;561572.3099000007
