Antal test elementer;Test 1 (ms);Test 2 (ms);Test 3 (ms);Test 4 (ms);Test 5 (ms);Test 6 (ms);Test 7 (ms);Test 8 (ms);Test 9 (ms);Test 10 (ms)
0;0.04970000125467777;0.00390000082552433;0.004699999466538429;0.006100000813603401;0.0044999998062849045;0.010399999096989632;0.04259999841451645;0.0066999997943639755;0.004599999636411667;0.005799999460577965
10000000;3596.7911000009626;3609.0809000004083;3576.977900000289;3620.697000000626;3604.0262000001967;3607.4326999988407;3589.1091999989003;3591.4632999990135;3662.3818999994546;3648.5078999996185
20000000;7586.56240000017;7520.022199999541;7586.117699999362;7575.918200001121;7505.500500001013;7571.5078999996185;7576.8805999998;7547.045599998906;7525.373600000516;7580.520299999043
30000000;11660.553299998865;11768.56200000085;11610.761700000614;11634.695500001311;11669.995699999854;11711.828599998727;11612.579899998382;11672.015200000256;11699.924099998549;11730.955199999735
40000000;16003.853400001302;16088.529200000688;16255.328499998897;16071.834599999711;16046.087200000882;16009.36459999904;16105.06819999963;16099.949400000274;16077.807400001213;16075.34460000135
50000000;21203.07340000011;21052.645899999887;21046.879499999806;21055.12190000154;21044.6791999992;20918.621100001037;20962.62759999931;20946.25229999982;20910.664799999446;20946.735500000417
60000000;25042.405799999833;25118.04609999992;25114.527099998668;25063.832400001585;25149.346600001678;25071.497800000012;25165.25470000133;25042.881500000134;25134.26900000125;25098.79050000012
70000000;29752.662599999458;29763.1118999999;29789.95390000008;29915.632199998945;29811.697300000116;29791.917799999937;29835.868699999526;29818.92159999907;30129.728700000793;29681.405600000173
80000000;35871.18800000101;35927.392599999905;35834.09260000102;35949.10220000148;35775.89529999904;35830.65249999985;35652.96230000071;35675.01050000079;35768.92840000056;35841.536999998614
90000000;40501.68530000001;40644.251499999315;40562.87030000053;40493.71499999985;40574.81709999964;40576.29439999908;40549.707900000736;40767.3713000007;40508.23830000125;40966.7444000002
100000000;46506.69350000098;46473.51910000108;46387.30430000089;46589.79999999888;46523.59069999866;46518.517699999735;46376.132299998775;46572.37790000066;46583.215800000355;46540.96939999983
