Antal test elementer;Test 1 (ms);Test 2 (ms);Test 3 (ms);Test 4 (ms);Test 5 (ms);Test 6 (ms);Test 7 (ms);Test 8 (ms);Test 9 (ms);Test 10 (ms)
0;0.04459999967366457;0.004100000020116568;0.006599999964237213;0.003200000151991844;0.009200000204145908;0.007400000002235174;0.00839999970048666;0.005200000014156103;0.006199999712407589;0.00430000014603138
100000;3547.300599999726;3325.7716999999247;3421.6979000000283;3465.62099999981;3494.8039000001736;3464.3045000000857;3537.788100000005;3490.466099999845;3556.8624999998137;3632.7772000003606
200000;15159.075999999885;13083.583500000183;13102.958800000139;13024.635099999607;13095.648899999913;13023.584999999963;13126.135000000242;13476.545799999963;13071.817299999762;13056.23470000038
300000;29376.03560000006;29510.64260000037;29718.496900000144;29477.947699999902;29358.873999999836;29437.450000000186;29375.66899999976;29431.61320000002;29415.99210000038;29438.79910000041
400000;52370.60319999978;52186.95160000026;52372.69760000007;52420.584399999585;52514.145299999975;52574.439800000284;52159.733899999876;52231.557200000156;52182.78710000031;52365.92889999971
500000;81785.28129999992;81762.14690000005;81658.97790000029;81768.3284;81674.78580000019;81917.06550000003;81683.54599999962;81496.72580000013;81602.50309999939;81719.79610000085
600000;117828.02460000012;117655.48089999985;127101.76539999992;130875.04330000002;131811.77579999994;137030.62210000027;140761.73309999984;137151.9411000004;141003.7600000007;140680.16779999994
700000;187304.53189999983;179762.45689999964;177278.72589999996;179379.37820000015;160790.74539999943;160041.4018000001;160358.48299999954;160261.28500000015;160307.62250000052;160653.5811999999
800000;208715.83419999853;209682.83860000037;209327.08889999986;208927.53229999915;209285.67029999942;208977.13120000064;208686.93390000053;208667.55829999968;209773.40729999915;208888.47739999928
900000;264760.3811999988;264811.5253999997;265247.59910000116;268260.55260000005;270186.7753999997;271504.01199999824;270861.44769999944;271345.10500000045;271187.04849999957;273079.8309000004
1000000;330151.30340000056;326572.66779999994;327430.4129000008;328001.0059999991;327480.37950000167;327911.00210000016;327208.70969999954;327848.99859999865;327659.0688000005;327297.6107999999
