Antal test elementer;Test 1 (ms);Test 2 (ms);Test 3 (ms);Test 4 (ms);Test 5 (ms);Test 6 (ms);Test 7 (ms);Test 8 (ms);Test 9 (ms);Test 10 (ms)
0;0.05690000019967556;0.010700000450015068;0.009499999694526196;0.003699999302625656;0.004599999636411667;0.00559999980032444;0.007000000216066837;0.0027000000700354576;0.005899999290704727;0.010799999348819256
10000;35.578199999406934;33.03729999996722;34.13329999987036;32.28969999961555;41.92700000014156;40.98979999963194;42.010999999940395;40.11349999997765;43.29650000017136;40.29220000002533
20000;131.16880000010133;160.97649999987334;148.19149999972433;161.08750000037253;157.6765000000596;171.31909999996424;160.3652999997139;131.54119999986142;156.6926999995485;129.23940000031143
30000;295.0381999993697;293.18219999969006;332.994099999778;336.1166000002995;338.71619999967515;329.0190000003204;299.60089999996126;301.84179999958724;294.41889999993145;361.5459000002593
40000;627.6523000001907;521.1990000000224;545.4597000004724;524.0332000004128;528.0052000004798;559.9523999998346;532.3864000001922;685.4023000001907;524.7872999999672;530.38570000045
50000;840.0379999997094;975.6858000000939;838.8605000004172;840.790300000459;875.876600000076;830.9583000000566;941.9210999999195;964.9769999999553;884.8893999997526;809.5939999995753
60000;1227.8801999995485;1188.5719999996945;1306.9366999994963;1181.4661999996752;1202.2852999996394;1214.1963000008836;1239.0858999993652;1239.153099999763;1206.55179999955;1192.8534999992698
70000;1768.4514999995008;1623.0484999995679;1615.584699999541;1656.74739999976;1718.2620000001043;1783.6662999996915;1706.5482000000775;1688.6439000004902;1824.1116000004113;1630.1359000001103
80000;2167.251000000164;2350.199900000356;2097.8401000006124;2399.7900999998674;2096.1732999999076;2182.9281999999657;2123.4340000003576;2100.589300000109;2211.637999999337;2142.499499999918
90000;2687.728500000201;2806.42669999972;2813.407700000331;2759.5605999995023;2771.48669999931;2752.612500000745;2786.147599999793;2670.5143999997526;2653.131900000386;2654.345800000243
100000;3435.3903000000864;3352.103800000623;3446.9081000005826;3324.1327999997884;3303.5320000005886;3360.0816999999806;3328.8182999994606;3542.3177999993786;3409.093799999915;3295.216699999757
