Antal test elementer;Test 1 (ms);Test 2 (ms);Test 3 (ms);Test 4 (ms);Test 5 (ms);Test 6 (ms);Test 7 (ms);Test 8 (ms);Test 9 (ms);Test 10 (ms)
0;0.05620000045746565;0.009200000204145908;0.0072999997064471245;0.004200000315904617;0.007600000128149986;0.003399999812245369;0.0032999999821186066;0.002500000409781933;0.003100000321865082;0.0046000005677342415
1000000;5.580000000074506;5.05449999962002;3.4836999997496605;2.4008999997749925;2.404400000348687;2.8685999996960163;2.3582000005990267;2.360100000165403;2.3722999999299645;3.7939999997615814
2000000;5.796500000171363;4.800199999473989;4.981900000013411;4.830500000156462;4.7904000002890825;4.909900000318885;4.959899999201298;5.990799999795854;6.205900000408292;5.972100000828505
3000000;7.384099999442697;7.383399999700487;7.562299999408424;7.4665000000968575;7.512400000356138;8.904499999247491;7.345099999569356;8.870099999941885;8.911099999211729;7.722199999727309
4000000;11.908699999563396;10.939399999566376;9.937100000679493;13.07909999974072;10.369699999690056;11.90859999973327;9.968800000846386;10.211799999698997;9.830999999307096;10.165899999439716
5000000;12.450699999928474;12.437100000679493;14.744599999859929;12.581100000068545;14.834400000050664;12.835199999623;12.543399999849498;12.616500000469387;12.496900000609457;14.754900000058115
6000000;14.853600000031292;15.120199999772012;17.785500000230968;15.326999999582767;15.802500000223517;17.469499999657273;15.137400000356138;15.341999999247491;15.928299999795854;15.042100000195205
7000000;20.480600000359118;17.597999999299645;20.988000000827014;22.589699999429286;17.73950000014156;19.223699999973178;20.845799999311566;17.71389999985695;17.9242000002414;23.90819999948144
8000000;20.362999999895692;20.090099999681115;25.890699999406934;25.20839999988675;20.588800000026822;23.77089999988675;20.027299999259412;21.697900000028312;21.551399999298155;23.589699999429286
9000000;22.979700000025332;26.792899999767542;24.2687999997288;24.777900000102818;22.661899999715388;26.7652000002563;28.266799999400973;26.697100000455976;22.434500000439584;22.83750000037253
10000000;30.152999999932945;25.349699999205768;25.122199999168515;27.807699999772012;25.10829999949783;30.131400000303984;25.083899999968708;27.583300000056624;25.253500000573695;25.919999999925494
