Antal test elementer;Test 1 (ms);Test 2 (ms);Test 3 (ms);Test 4 (ms);Test 5 (ms);Test 6 (ms);Test 7 (ms);Test 8 (ms);Test 9 (ms);Test 10 (ms)
0;0.0494999997317791;0.0034999996423721313;0.010700000450015068;0.006400000303983688;0.004599999636411667;0.005400000140070915;0.008099999278783798;0.004899999126791954;0.007600000128149986;0.0038000009953975677
10000000;48.57189999893308;48.36639999970794;34.9925999995321;28.433700000867248;26.452600000426173;30.58280000090599;32.12490000016987;31.732999999076128;30.72179999947548;31.59720000065863
20000000;61.82340000011027;61.53390000015497;62.446000000461936;62.38189999945462;57.23919999971986;61.679100001230836;63.341499999165535;63.100199999287724;63.000900000333786;63.77830000035465
30000000;88.9947000015527;95.75310000032187;99.44730000011623;96.13260000012815;96.66200000047684;94.08630000054836;88.09510000050068;95.61259999871254;97.92630000039935;96.93659999966621
40000000;124.1127999983728;129.7107000015676;124.84570000134408;118.13129999861121;129.49720000103116;130.57200000062585;129.92219999991357;130.71680000051856;130.43119999952614;130.36830000020564
50000000;166.97730000130832;161.103900000453;161.59999999962747;165.3779000006616;164.73680000007153;151.80209999904037;165.96319999918342;160.77609999850392;164.22880000062287;158.74379999935627
60000000;195.02709999866784;196.67590000107884;194.63549999892712;191.8302999995649;189.75860000029206;194.60780000127852;198.4307000003755;192.26899999938905;193.30459999851882;195.29129999876022
70000000;226.43630000017583;230.5336000006646;229.6997999995947;226.32629999890924;226.42080000042915;224.0770999994129;220.62939999997616;226.83579999953508;225.99699999950826;228.81430000066757
80000000;257.86790000088513;265.62069999985397;262.1036000009626;258.13910000026226;260.5460000000894;261.04849999956787;236.964999999851;259.75950000062585;258.4584999997169;262.1129999998957
90000000;287.7047999985516;292.41070000082254;292.72399999946356;299.0612000003457;291.44840000011027;292.2697999998927;282.63230000063777;281.2594000007957;291.4837999995798;290.41070000082254
100000000;326.701400000602;326.1975000016391;330.7843999993056;330.7665999997407;326.7138000000268;314.21339999884367;323.24520000070333;331.63570000045;303.2782000005245;326.6817000005394
