Antal test elementer;Test 1 (ms);Test 2 (ms);Test 3 (ms);Test 4 (ms);Test 5 (ms);Test 6 (ms);Test 7 (ms);Test 8 (ms);Test 9 (ms);Test 10 (ms)
0;0.05519999982789159;0.003799999598413706;0.003200000151991844;0.0035000001080334187;0.007600000128149986;0.011700000148266554;0.03709999984130263;0.00570000009611249;0.004699999932199717;0.003199999686330557
100000;46.51589999999851;42.16910000005737;36.19870000006631;40.721999999601394;35.46749999979511;40.19989999989048;35.1644999999553;35.55890000006184;35.21220000041649;35.69759999960661
200000;74.71620000014082;75.3316000001505;74.95569999981672;80.42969999974594;76.7770000002347;74.22239999985322;74.41720000002533;76.15039999969304;75.29279999993742;74.36859999969602
300000;126.33140000002459;130.41779999993742;132.18809999991208;137.91410000016913;134.21710000000894;129.7579000000842;129.36450000014156;130.47399999992922;128.7888000002131;131.4297000002116
400000;173.49980000033975;178.45280000008643;176.6920999996364;175.90810000011697;176.28649999992922;176.376600000076;173.09769999980927;172.340799999889;177.30810000002384;176.70750000001863
500000;228.74699999997392;228.311699999962;231.6227000001818;223.45470000011846;227.59239999996498;222.19439999992028;226.1160999997519;220.58100000023842;228.22369999997318;222.7600999996066
600000;271.26759999990463;276.1107000000775;282.0816000001505;269.8785000005737;279.1499999994412;277.82170000020415;276.2101000007242;275.84210000000894;277.95000000018626;278.1182000003755
700000;321.18350000027567;312.21100000012666;308.78419999964535;312.59279999975115;315.52639999985695;306.4260999998078;307.5181000009179;311.5737999994308;311.0177000015974;309.4416000004858
800000;369.81140000000596;366.52069999836385;364.7746999990195;365.1900000013411;366.62030000053346;371.975700000301;361.5945999994874;366.5364000014961;366.5619999989867;361.39360000006855
900000;409.5614999998361;425.7708000000566;416.1344999987632;413.27340000122786;419.25310000032187;412.6479000002146;417.8022999987006;412.20749999955297;409.8231000006199;421.49110000021756
1000000;458.42479999922216;453.85690000094473;456.5810000002384;459.44089999981225;479.43439999967813;458.4472000002861;453.3159999996424;460.9942000005394;457.5321999993175;455.3277000002563
