Antal test elementer;Test 1 (ms);Test 2 (ms);Test 3 (ms);Test 4 (ms);Test 5 (ms);Test 6 (ms);Test 7 (ms);Test 8 (ms);Test 9 (ms);Test 10 (ms)
0;0.006599999964237213;0.006200000643730164;0.004399999976158142;0.00430000014603138;0.003699999302625656;0.0040000006556510925;0.0272000003606081;0.004799999296665192;0.005700001493096352;0.0020000003278255463
10000000;32.34190000034869;27.866200000047684;25.087899999693036;25.710699999704957;30.993899999186397;25.130200000479817;30.99860000051558;24.809399999678135;25.54020000062883;25.047600001096725
20000000;50.645500000566244;62.59959999844432;51.096300000324845;53.431300001218915;57.26579999923706;50.166900001466274;60.510700000450015;53.501700000837445;59.97019999846816;60.79739999957383
30000000;88.87640000134706;75.4242000002414;75.91919999942183;76.52779999934137;85.62429999932647;75.0343999993056;75.19239999912679;76.30130000039935;94.75609999895096;87.82990000024438
40000000;104.15320000052452;115.2652000002563;116.23049999959767;112.8572999984026;114.08100000023842;109.5719999987632;116.48620000109076;102.93859999999404;102.43149999901652;120.1499000005424
50000000;125.70830000005662;137.89220000058413;153.7030999995768;125.55580000020564;147.33590000122786;137.364600000903;133.31710000149906;136.8649000003934;143.08770000003278;135.1408000010997
60000000;171.169600000605;158.1259000003338;151.73070000112057;173.94689999893308;172.78179999999702;151.97299999929965;151.1771999988705;171.8766999989748;159.9352000001818;161.91310000047088
70000000;194.9423999991268;192.18799999915063;193.02209999971092;179.58939999900758;202.66370000131428;181.878200000152;187.90469999983907;185.03480000048876;192.05360000021756;207.15269999951124
80000000;233.13739999942482;228.7134999986738;236.6667999997735;236.46009999886155;235.19189999997616;232.72389999963343;232.4857000000775;217.121799999848;222.3322999998927;227.07549999840558
90000000;262.5045999996364;263.79020000062883;249.15890000015497;268.86089999973774;232.81660000048578;253.70769999921322;227.87109999917448;241.82610000111163;238.50989999994636;254.0262000001967
100000000;288.59219999983907;264.6337999999523;296.236099999398;270.4698999989778;269.2319999989122;303.4818999990821;269.66200000047684;294.78940000012517;279.5967999994755;261.524299999699
