Antal test elementer;Test 1 (ms);Test 2 (ms);Test 3 (ms);Test 4 (ms);Test 5 (ms);Test 6 (ms);Test 7 (ms);Test 8 (ms);Test 9 (ms);Test 10 (ms)
0;0.041699886322021484;0.009900093078613281;0.0044002532958984375;0.004099845886230469;0.008600234985351562;0.004300117492675781;0.0034003257751464844;0.004000186920166016;0.003699779510498047;0.00279998779296875
1000000;297.78020000457764;291.5015001296997;286.33539962768555;303.45930004119873;290.48080015182495;283.23099994659424;305.3898000717163;291.89460039138794;272.7108998298645;301.521399974823
2000000;583.3994998931885;603.3984999656677;616.1461000442505;607.5609998703003;627.3984999656677;641.6669998168945;640.6701002120972;600.8790998458862;600.8907999992371;581.8849000930786
3000000;904.0403003692627;904.3680996894836;930.212899684906;905.2328000068665;967.0515999794006;981.423499584198;925.0404000282288;910.045599937439;1530.7525000572205;888.4286999702454
4000000;1792.5370001792908;1292.0592999458313;1206.230899810791;1269.5817003250122;1248.7220997810364;1471.7678999900818;1718.128900051117;1324.1363997459412;1418.008399963379;1498.9376001358032
5000000;1887.952700138092;1835.0935997962952;2162.86310005188;1962.3708000183105;2348.0437998771667;2038.3101997375488;2027.7470998764038;1635.4665999412537;1667.3301000595093;1640.4500002861023
6000000;1946.0621004104614;1959.1298999786377;1984.9890999794006;2008.0226998329163;1939.1208000183105;1970.5390000343323;2014.4439001083374;1928.973599910736;1978.6242003440857;2006.854199886322
7000000;2402.1089997291565;2354.0717000961304;2383.834399700165;2331.553500175476;2379.3510003089905;2318.048900127411;2320.451599597931;2337.598699569702;2358.9615998268127;2319.616500377655
8000000;2706.9286999702454;2705.6550998687744;2697.5673003196716;2708.194799900055;2683.1431999206543;2706.672800064087;2666.312399864197;2668.8123002052307;2782.997200012207;2682.548900127411
9000000;3170.118899822235;9303.025199890137;5716.579099655151;5724.525599956512;5744.156099796295;5678.9563002586365;5724.274899959564;5686.079499721527;5728.248199939728;5665.395199775696
10000000;6400.489200115204;6479.162200450897;8258.729000091553;8412.317800045013;8629.776700019836;10804.436900138855;10692.748199939728;9218.156799793243;7910.16739988327;7567.705000400543
