Antal test elementer;Test 1 (ms);Test 2 (ms);Test 3 (ms);Test 4 (ms);Test 5 (ms);Test 6 (ms);Test 7 (ms);Test 8 (ms);Test 9 (ms);Test 10 (ms)
0;0.049399999901652336;0.0050999997183680534;0.0034999996423721313;0.004399999976158142;0.004100000485777855;0.0036000004038214684;0.035500000230968;0.0026000002399086952;0.003999999724328518;0.003399999812245369
1000000;394.3380999993533;353.28909999970347;347.20029999967664;377.5256000002846;345.03770000021905;361.7852999996394;336.3575999997556;358.65010000020266;339.4401000002399;340.2075000004843
2000000;737.3008000003174;775.379300000146;754.3074000002816;752.313599999994;751.0006999997422;751.1866999994963;737.6803999999538;753.8667000001296;746.435399999842;729.0487999999896
3000000;1187.3789999997243;1132.6285999994725;1192.2132999999449;1169.727800000459;1132.851700000465;1140.5818999996409;1146.8692999994382;1160.9550000000745;1175.5778999999166;1165.9868999999017
4000000;1590.3048000000417;1528.032899999991;1504.935300000012;1580.6052000001073;1559.0282000005245;1597.9680999992415;1547.035000000149;1535.5087000001222;1507.625500000082;1583.1910000005737
5000000;1991.2066000001505;2002.216599999927;2002.0938999997452;1985.0822999998927;2006.2540999995545;2011.901999999769;1923.0163000002503;1981.8207000000402;1990.0210000006482;1974.663700000383
6000000;2443.704299999401;2462.5341999996454;2494.2653000000864;2394.8563000001013;2447.283999999985;2379.646699999459;2386.7439000001177;2425.5622000005096;2449.282999999821;2469.661600000225
7000000;2853.5685999998823;2930.620699999854;2904.1517000002787;3066.50250000041;3074.855000000447;2929.36950000003;2870.563500000164;2971.242400000803;2934.4991000005975;2869.041400000453
8000000;3262.38049999997;3281.030100000091;3337.43229999952;3284.808799999766;3251.028400000185;3260.88030000031;3226.9200999997556;3287.349700000137;3266.217100000009;3288.4264000002295
9000000;3677.17419999931;3751.2842999994755;3675.5368000008166;3681.2238999996334;3653.9792999997735;3782.965499999933;3654.142799999565;3663.6759999999776;3662.769899999723;3705.0088999997824
10000000;4026.9716999996454;4167.003899999894;4157.074599999934;4022.3920999998227;4068.1323000006378;4059.081499999389;4091.685499999672;4081.767299999483;4159.119900000282;4031.8122999994084
