Antal test elementer;Test 1 (ms);Test 2 (ms);Test 3 (ms);Test 4 (ms);Test 5 (ms);Test 6 (ms);Test 7 (ms);Test 8 (ms);Test 9 (ms);Test 10 (ms)
0;0.09609999973326921;0.006099999882280827;0.004699999466538429;0.003999999724328518;0.0071000000461936;0.010900000110268593;0.03319999948143959;0.002499999478459358;0.005300000309944153;0.0018000006675720215
10000;11.357499999925494;3.0455999998375773;2.964700000360608;2.5740999998524785;3.196000000461936;3.0252999998629093;2.6927999993786216;2.7359999995678663;2.6017000004649162;2.668199999257922
20000;5.3059999998658895;5.307800000533462;6.680399999953806;6.228400000371039;4.8355000000447035;4.936199999414384;5.093399999663234;5.553000000305474;5.245400000363588;4.714999999850988
30000;7.938699999824166;7.383600000292063;13.140100000426173;7.868400000035763;8.144299999810755;9.623599999584258;10.574799999594688;9.00249999947846;8.436999999918044;6.895600000396371
40000;9.907599999569356;9.5378999998793;9.946700000204146;10.746299999766052;9.5152000002563;9.732400000095367;11.342999999411404;17.779000000096858;9.634599999524653;11.836600000038743
50000;15.871000000275671;14.371299999766052;16.869400000199676;13.073300000280142;21.989800000563264;13.963999999687076;13.942799999378622;14.246700000017881;13.537999999709427;14.007000000216067
60000;15.708000000566244;15.536700000055134;17.264999999664724;15.88870000001043;15.894699999131262;15.347499999217689;16.852900000289083;15.073200000450015;16.226400000043213;15.984699999913573
70000;18.28440000023693;18.44440000038594;17.645999999716878;17.95200000051409;17.70409999974072;24.821700000204146;18.171099999919534;17.69869999960065;18.793200000189245;17.802600000053644
80000;21.097099999897182;21.80059999972582;22.108799999579787;24.117300000041723;21.943799999542534;27.17520000040531;21.83369999937713;21.72259999997914;22.217699999921024;22.13939999975264
90000;24.88219999987632;32.269000000320375;27.33930000010878;25.69110000040382;23.723699999973178;27.3218999998644;25.571299999952316;24.29079999960959;23.650100000202656;24.713699999265373
100000;29.9164999993518;31.596000000834465;27.185899999924004;29.018299999646842;29.45420000050217;26.969800000078976;32.8179999999702;27.250799999572337;28.739300000481308;28.41690000053495
