Antal test elementer;Test 1 (ms);Test 2 (ms);Test 3 (ms);Test 4 (ms);Test 5 (ms);Test 6 (ms);Test 7 (ms);Test 8 (ms);Test 9 (ms);Test 10 (ms)
0;0.04959999769926071;0.003699999302625656;0.007799997925758362;0.009599998593330383;0.003699999302625656;0.005199998617172241;0.029700003564357758;0.0037000030279159546;0.005599997937679291;0.003699999302625656
100000;32.70369999855757;28.142100002616644;25.546900000423193;26.914300002157688;23.722200002521276;33.283500000834465;22.879399999976158;22.94040000066161;22.901600003242493;22.87779999896884
200000;64.43959999829531;63.106200002133846;56.68969999998808;57.39630000293255;61.920400001108646;60.60340000316501;57.414200000464916;57.156199999153614;61.7707000002265;60.12939999997616
300000;89.82440000027418;88.62449999898672;89.94500000029802;90.17669999971986;89.21379999816418;90.44240000098944;89.22399999946356;88.42590000107884;89.47769999876618;88.97439999878407
400000;117.0240999981761;114.97520000115037;115.57049999758601;132.8192999996245;113.67410000041127;116.14510000124574;114.90029999986291;114.93059999868274;117.10319999977946;113.8796999976039
500000;153.30750000104308;154.4219000004232;151.4426000006497;152.6816000007093;152.38700000196695;152.56899999827147;151.91029999777675;152.10209999978542;152.4802000001073;153.027800001204
600000;178.94480000063777;179.4213999994099;180.19150000065565;178.21299999952316;181.6161000020802;177.8074999973178;179.83100000023842;181.81199999898672;179.66079999879003;197.9160000011325
700000;197.8839000016451;200.05609999969602;200.1431000009179;200.50919999927282;201.55269999802113;203.15480000153184;199.16450000181794;202.47060000151396;200.36290000006557;220.50149999931455
800000;239.33980000019073;240.68180000036955;249.28529999777675;239.65179999917746;238.52679999917746;242.48369999974966;243.4345000013709;241.54440000280738;241.1004999987781;238.85000000149012
900000;280.9266000017524;276.1893000006676;282.2681999988854;276.53020000085235;279.7283999994397;279.0087999999523;287.42709999904037;278.40729999914765;287.6406999975443;280.60030000284314
1000000;317.65389999747276;310.2331999987364;311.6768999993801;314.6587999984622;317.7934999987483;312.25280000269413;308.5313000008464;314.08760000020266;312.0705999955535;327.64760000258684
